Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01uF,C_0402_1005Metric,139.2,-91.2,0.0,top
C10,10uF,C_1206_3216Metric,148.2,-99.3,180.0,top
C11,10uF,C_1206_3216Metric,148.2,-101.7,180.0,top
C12,10uF,C_1206_3216Metric,148.2,-96.9,180.0,top
C13,1uF,C_0603_1608Metric,147.4,-95.0,180.0,top
C14,0.1uF,C_0402_1005Metric,146.5,-93.7,0.0,bottom
C15,0.1uF,C_0402_1005Metric,146.5,-93.7,180.0,top
C16,1uF,C_0603_1608Metric,176.1,-116.6,-90.0,top
C17,68uF,CP_Elec_8x10,132.5,-101.2425,-90.0,top
C18,10uF,C_1206_3216Metric,142.9,-99.2,0.0,top
C19,10uF,C_1206_3216Metric,142.9,-96.9,0.0,top
C2,0.1uF,C_0402_1005Metric,139.2,-88.7,0.0,top
C20,1uF,C_0603_1608Metric,143.7,-95.0,0.0,top
C21,0.1uF,C_0402_1005Metric,144.6,-93.7,180.0,bottom
C22,0.1uF,C_0402_1005Metric,144.6,-93.7,0.0,top
C23,0.01uF,C_0402_1005Metric,133.2,-110.8,0.0,top
C24,0.1uF,C_0402_1005Metric,139.2,-89.7,0.0,top
C25,0.01uF,C_0402_1005Metric,143.6,-110.6,0.0,top
C26,22uF,C_1206_3216Metric,176.4,-94.725,-90.0,top
C27,22uF,C_1206_3216Metric,174.0,-94.725,-90.0,top
C28,0.1uF,C_0402_1005Metric,119.1,-118.0,0.0,top
C29,22uF,C_1206_3216Metric,133.0,-92.85,90.0,top
C3,0.1uF,C_0603_1608Metric,143.2,-87.2,0.0,top
C30,22uF,C_1206_3216Metric,135.4,-92.825,90.0,top
C31,0.01uF,C_0402_1005Metric,135.7,-118.3,0.0,top
C32,2.2uF,C_1206_3216Metric,124.2,-84.3,0.0,top
C33,68uF,CP_Elec_8x10,122.7,-101.2,-90.0,top
C34,0.1uF,C_0402_1005Metric,128.3,-92.1,180.0,top
C35,1uF,C_0603_1608Metric,123.4,-86.4,0.0,top
C4,0.1uF,C_0603_1608Metric,148.1,-87.2,180.0,top
C5,4.7uF,C_0603_1608Metric,151.2,-88.4,0.0,top
C6,0.1uF,C_0402_1005Metric,149.671732,-92.680024,90.0,top
C7,100pF,C_0402_1005Metric,154.390335,-91.650616,0.0,top
C8,4700pF,C_0402_1005Metric,154.390335,-90.650616,0.0,top
C9,100uF,CP_Elec_6.3x5.8,154.5,-114.2,-90.0,top
J1,Battery,TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal,112.3,-100.3,-90.0,top
J10,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,134.03,-121.3,-90.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,134.03,-113.6,-90.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,119.5,-113.4,-90.0,top
J4,12Vout,TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal,184.3775,-115.9,-90.0,top
J5,5Vout,TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal,184.3775,-95.0,-90.0,top
J7,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,144.425,-121.3,-90.0,top
J8,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,144.43,-113.6,-90.0,top
J9,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,119.5,-121.3,-90.0,top
