Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.01uF","C_0402_1005Metric",139.200000,-91.200000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",139.200000,-88.700000,0.000000,top
"C3","0.1uF","C_0603_1608Metric",143.200000,-87.200000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",148.100000,-87.200000,180.000000,top
"C5","4.7uF","C_0603_1608Metric",151.200000,-88.400000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",149.671732,-92.680024,90.000000,top
"C7","100pF","C_0402_1005Metric",154.390335,-91.650616,0.000000,top
"C8","4700pF","C_0402_1005Metric",154.390335,-90.650616,0.000000,top
"C9","100uF","CP_Elec_6.3x5.8",154.500000,-114.200000,-90.000000,top
"C10","10uF","C_1206_3216Metric",148.200000,-99.300000,180.000000,top
"C11","10uF","C_1206_3216Metric",148.200000,-101.700000,180.000000,top
"C12","10uF","C_1206_3216Metric",148.200000,-96.900000,180.000000,top
"C13","1uF","C_0603_1608Metric",147.400000,-95.000000,180.000000,top
"C15","0.1uF","C_0402_1005Metric",146.500000,-93.700000,180.000000,top
"C16","1uF","C_0603_1608Metric",176.100000,-116.600000,-90.000000,top
"C17","68uF","CP_Elec_8x10",132.500000,-101.242500,-90.000000,top
"C18","10uF","C_1206_3216Metric",142.900000,-99.200000,0.000000,top
"C19","10uF","C_1206_3216Metric",142.900000,-96.900000,0.000000,top
"C20","1uF","C_0603_1608Metric",143.700000,-95.000000,0.000000,top
"C22","0.1uF","C_0402_1005Metric",144.600000,-93.700000,0.000000,top
"C23","0.01uF","C_0402_1005Metric",133.200000,-110.800000,0.000000,top
"C24","0.1uF","C_0402_1005Metric",139.200000,-89.700000,0.000000,top
"C25","0.01uF","C_0402_1005Metric",143.600000,-110.600000,0.000000,top
"C26","22uF","C_1206_3216Metric",176.400000,-94.725000,-90.000000,top
"C27","22uF","C_1206_3216Metric",174.000000,-94.725000,-90.000000,top
"C28","0.1uF","C_0402_1005Metric",119.100000,-118.000000,0.000000,top
"C29","22uF","C_1206_3216Metric",133.000000,-92.850000,90.000000,top
"C30","22uF","C_1206_3216Metric",135.400000,-92.825000,90.000000,top
"C31","0.01uF","C_0402_1005Metric",135.700000,-118.300000,0.000000,top
"C32","2.2uF","C_1206_3216Metric",124.200000,-84.300000,0.000000,top
"C33","68uF","CP_Elec_8x10",122.700000,-101.200000,-90.000000,top
"C34","0.1uF","C_0402_1005Metric",128.300000,-92.100000,180.000000,top
"C35","1uF","C_0603_1608Metric",123.400000,-86.400000,0.000000,top
"J1","Battery","TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal",112.300000,-97.800000,-90.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",135.300000,-113.600000,-90.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",122.040000,-113.400000,-90.000000,top
"J4","12Vout","TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal",184.377500,-113.400000,-90.000000,top
"J5","5Vout","TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal",184.377500,-92.500000,-90.000000,top
"J7","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",146.965000,-121.300000,-90.000000,top
"J8","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",145.700000,-113.600000,-90.000000,top
"J9","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",122.040000,-121.300000,-90.000000,top
"J10","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",135.300000,-121.300000,-90.000000,top
"L1","4.7uH","L_Coilcraft_XAL7070-XXX",145.600000,-82.100000,180.000000,top
"R1","49.9","R_0402_1005Metric",172.100000,-107.690000,180.000000,top
"R2","102k","R_0402_1005Metric",151.990335,-92.050616,90.000000,top
"R3","11.3k","R_0402_1005Metric",154.390335,-92.650616,180.000000,top
"R4","49.9k","R_0402_1005Metric",139.200000,-92.200000,180.000000,top
"R5","150k","R_0402_1005Metric",152.490335,-89.650616,0.000000,top
"R6","10","R_0402_1005Metric",154.400000,-93.700000,180.000000,top
"R7","15k","R_0402_1005Metric",152.490335,-90.650616,180.000000,top
"R8","10","R_0402_1005Metric",154.400000,-94.700000,180.000000,top
"R9","10m","R_1206_3216Metric",170.800000,-113.000000,180.000000,top
"R10","147k","R_0402_1005Metric",122.340000,-108.900000,180.000000,top
"R11","115k","R_0402_1005Metric",117.440000,-108.900000,180.000000,top
"R12","102k","R_0402_1005Metric",135.800000,-110.800000,0.000000,top
"R13","4.99k","R_0402_1005Metric",144.900000,-118.600000,180.000000,top
"R14","4.99k","R_0402_1005Metric",142.390000,-118.600000,180.000000,top
"R15","102k","R_0402_1005Metric",146.200000,-110.600000,0.000000,top
"R16","0","R_0402_1005Metric",131.500000,-88.200000,180.000000,top
"R17","49.9k","R_0402_1005Metric",122.590000,-117.900000,180.000000,top
"R18","12.7k","R_0402_1005Metric",122.605000,-118.900000,0.000000,top
"R21","49.9k","R_0402_1005Metric",133.400000,-118.300000,0.000000,top
"R22","2.7","R_0402_1005Metric",122.100000,-87.800000,0.000000,top
"TP1","TestPoint","TestPoint_Keystone_5019_Miniature",139.300000,-82.100000,90.000000,top
"TP2","TestPoint","TestPoint_Keystone_5019_Miniature",175.000000,-122.500000,0.000000,top
"TP3","TestPoint","TestPoint_Keystone_5019_Miniature",166.600000,-122.500000,0.000000,top
"TP4","TestPoint","TestPoint_Keystone_5019_Miniature",151.800000,-81.900000,90.000000,top
"TP7","TestPoint","TestPoint_Keystone_5019_Miniature",112.200000,-92.200000,0.000000,top
"TP8","TestPoint","TestPoint_Keystone_5019_Miniature",112.400000,-108.400000,0.000000,top
